t,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,psd_slope,lzc,pac_tg_mi,y_true,y_hat,err,sched
0,0.013858898724156195,0.48525436975515085,0.015255146024130377,0.03483364040700921,0.19677192044787012,-0.8405765246896009,0.375,0.0007580042924534184,-0.010265915447821416,-0.010714665449379627,0.0004487500015582114,1.0
1,0.027319158091797285,1.0868026316189126,0.013192624133514633,0.025970253753563034,0.17757798436687666,-1.1261239752174035,0.25,0.0009490237098993157,-0.02608019352765943,-0.016777207771016184,-0.009302985756643248,0.9998026241462927
2,0.015487568343526208,0.48150996884927183,0.039175059247833724,0.025186168058291013,0.18756555330363375,-1.2194546880471953,0.40625,0.0035468663476619787,0.009388608219060566,-0.016049023527746002,0.02543763174680657,0.9992106913713086
3,0.01846133024335983,0.7200626623345524,0.0492458828790669,0.036728469456385464,0.19328869123810452,-1.252677593578144,0.0625,0.0009442907586867393,-0.012408214256409764,-0.014426454628941411,0.002018240372531647,0.9982247858412321
4,0.05169175609697466,0.547976449418293,0.03564389629415696,0.02355567439788026,0.20085193931374726,-1.2049354728880148,0.34375,0.0012477700424000475,0.01550537644851662,-0.013073200917232599,0.028578577365749216,0.9968458805257912
5,0.042620779818462934,0.5063104331492977,0.006879487008083676,0.03542783927854777,0.19503844977038265,-1.139473992578345,0.0625,0.0016296951175516067,-0.02031990339499162,-0.009242475185740763,-0.011077428209250857,0.9950753362380551
6,0.047583097156704134,0.5204355268444224,0.025366060767972144,0.028400921067059715,0.19290181412194043,-1.0845488746718632,0.1875,0.0014383106906321942,-0.021045552840421956,-0.009916302125883477,-0.011129250714538479,0.9929149002914757
7,0.09160752527633814,0.40380255020485945,0.01576588749635057,0.008519838827697593,0.18698196198290784,-1.4268744656121661,0.0625,0.0007064564359794028,-0.030131051322123754,-0.01273796594472096,-0.017393085377402792,0.9903667047754989
8,0.04824808126852959,0.35646146491957237,0.01663252589381263,0.029075678060944216,0.19224097911161178,-1.1704458690133093,0.09375,0.0013288239945487756,-0.01056076250151811,-0.012169256383582605,0.0016084938820644951,0.9874332644514525
9,0.07654757699486171,0.6241490435583038,0.009439592415824854,0.021860942436669847,0.18591482115112654,-1.3389560062168806,0.0625,0.00025508844250273074,-0.031684888732976264,-0.015049004192340154,-0.01663588454063611,0.9841174742707772
10,0.023548418376766016,0.6366430403012968,0.018304617513896095,0.028990479133301206,0.19621742102857134,-0.9951818614935316,0.125,0.0007739712326226952,-0.03386019814138668,-0.013090331938853207,-0.020769866202533474,0.9804226065180615
11,0.1948198032624302,0.6724842765319874,0.033079658130043266,0.06004371468201963,0.16651684333179412,-1.965878718412778,0.0625,0.001011761932984273,-0.062103298177813786,-0.028312702421905762,-0.03379059575590802,0.9763523075816902
12,0.1496710439082911,0.6448775682207579,0.01229583867008259,0.05105999141222106,0.17906444776333488,-1.5122665556155854,0.375,0.0010832151979070742,-0.0923948950810869,-0.02839018375814336,-0.06400471132294355,0.9719105943553006
13,0.04023828816670358,0.6160634558756821,0.024269733392497366,0.037227991844371214,0.2052859720742106,-0.8844258811327778,0.0625,0.0009819438781508009,-0.06790227456915941,-0.022100782985204504,-0.04580149158395491,0.9671018502735924
14,0.01622187215706539,0.6034060800924069,0.044222102038343716,0.022803113607696997,0.1640447125709986,-1.1027257534085795,0.15625,0.0007379622980724629,-0.1001674367409138,-0.030468734122186994,-0.06969870261872681,0.9619308209864079
15,0.06060617951748548,0.6510747938559898,0.02336068647887834,0.01647658936815871,0.21578622490933683,-1.4768454288389485,0.1875,0.001138224112827047,-0.09334357896332227,-0.04555256649561741,-0.047791012467704855,0.9564026096753471
16,0.07137206075595191,0.5804902114136767,0.02751187363132914,0.022407917210136345,0.1592912396857077,-1.4418251165532159,0.0625,0.0005506151549879829,-0.09950807120458666,-0.050043661657740664,-0.04946440954684599,0.9505226720175455
17,0.022188267364670493,0.508200904711467,0.02663746853011461,0.026860739663674197,0.17643529577181297,-1.1445842584728492,0.0625,0.0020619025728592635,-0.12716574606527417,-0.04461232968387608,-0.0825534163813981,0.9442968108015775
18,0.06096437071905556,0.47017465450117546,0.03106050730086984,0.02505732972935712,0.1995770956808193,-1.5807956332541493,0.78125,0.001517105509103241,-0.11917688723057819,-0.07026823525268791,-0.04890865197789028,0.937731170200806
19,0.18461731073937482,0.7922941499823626,0.027792883594764298,0.01439888229947666,0.17307735396826207,-1.7422807265340179,0.0625,0.0005406434240890289,-0.12132612931962963,-0.0855774196523226,-0.03574870966730703,0.9308322297098248
20,0.23193882762719373,0.9981380944498864,0.009242913373657326,0.02883482280628478,0.18651029227248928,-1.8330756383646973,0.0625,0.0010699365880257365,-0.09056325467065235,-0.1000290827405097,0.009465828069857352,0.9236067977499791
21,0.039167445750392604,0.7047551852614043,0.016300494394795046,0.048148531630636336,0.1968769434235552,-1.1689423003508503,0.1875,0.0006878891783901635,-0.11063479191544207,-0.06470704396872293,-0.04592774794671914,0.9160620049502761
22,0.020645566670259286,0.6075863327800981,0.03589817724137115,0.03862023920077029,0.19070427912733934,-1.1702024766309937,0.0625,0.001218857112888751,-0.1386150699798363,-0.06576521736333234,-0.07284985261650397,0.9082052971103158
23,0.1462584423236678,0.5989367103999342,0.08135377142095013,0.04474777926383008,0.1772017791073072,-1.6455804829506893,0.09375,0.0010321196230767009,-0.15211205457549745,-0.09598964623678743,-0.05612240833871002,0.900044427852184
24,0.10108007613503805,0.465264171617854,0.04767533400213708,0.01827977587330343,0.188295748354546,-1.5370213240597095,0.0625,0.0026711134788452873,-0.11631523739880195,-0.09348673223904877,-0.022828505159753182,0.8915874509685646
25,0.18985901817979856,0.42735702258104136,0.009741075565284713,0.024433094195655477,0.18581069149672597,-1.7053994740781266,0.1875,0.001835892317141307,-0.11346748035127432,-0.10565515553169795,-0.0078123248195763745,0.882842712474619
26,0.24881234162855348,0.716439666394031,0.035433074614830605,0.03935975013849711,0.19195193225205126,-1.1886954775091039,0.0625,0.0013963217650850024,-0.10960635772915747,-0.0844428836771907,-0.02516347405196677,0.8738188423714754
27,0.02582029078526019,0.4918465075723992,0.01587798393489892,0.02152202783669044,0.1799837301988562,-1.321821868704425,0.1875,0.0018852175070598002,-0.1183051444688392,-0.08892453709738528,-0.029380607371453926,0.8645247461294607
28,0.10472206070632842,0.593959807155197,0.014357311900900048,0.01951059464869233,0.1876055969030715,-1.189035092855838,0.40625,0.0012875509128863008,-0.13361419598957122,-0.08820807934425093,-0.045406116645320294,0.8549695958994759
29,0.0407455477689182,0.6035165986343567,0.018099168943465124,0.04886470385730031,0.1786004908307985,-1.4333646830595486,0.28125,0.0006992040241382868,-0.14974085679798255,-0.10697342316127995,-0.0427674336367026,0.8451628214611906
30,0.044130893400958354,0.42600236457624996,0.03173514376297208,0.022382891260259333,0.16344365638953667,-1.4451377233522325,0.21875,0.0013870717316540014,-0.14201304025778663,-0.10611641087185072,-0.03589662938593591,0.8351141009169893
31,0.0541093015717377,0.5796183436591206,0.023066411914497376,0.043955988592786197,0.18186227814434622,-1.4941116484872792,0.09375,0.0006644920197085869,-0.14687372993493086,-0.11646908252464429,-0.030404647410286575,0.8248333511408523
32,0.18358799455811461,0.5504262764219736,0.006532961527208566,0.0312636632647465,0.19112115003854005,-1.6620856518764215,0.09375,0.0013553812409495829,-0.14959708270612682,-0.1299652042381473,-0.019631878467979508,0.8143307179915986
33,0.017081830348903638,0.5649226575619681,0.017833276649074102,0.021196206936852292,0.18134375567435185,-0.7814283198759335,0.1875,0.0006088418937578395,-0.1414919315758288,-0.0723867575576244,-0.06910517401820439,0.8036165663001487
34,0.06092480385516836,0.7289734235083677,0.008174630954982174,0.0174101082430965,0.1815341482712965,-1.4514997198702637,0.78125,0.0009363197284488368,-0.14517370557487036,-0.13486306027496908,-0.010310645299901278,0.7927014696406862
