t,value,value_norm,delay
0,1.0,0.0,0.15000000000000002
1,1.0909090909090908,0.010101010101010091,0.24188790942927726
2,1.1818181818181819,0.020202020202020207,0.39006061953596916
3,1.2727272727272727,0.0303030303030303,0.6289919118105749
4,1.3636363636363638,0.040404040404040414,1.0142686242985646
5,1.4545454545454546,0.05050505050505051,1.6355200119064885
6,1.5454545454545454,0.0606060606060606,2.6372642049544224
7,1.6363636363636362,0.07070707070707069,4.252519261407629
8,1.7272727272727273,0.08080808080808081,6.856994079658139
9,1.8181818181818183,0.09090909090909093,11.056458998908576
10,1.9090909090909092,0.10101010101010102,14.494949494949495
11,2.0,0.1111111111111111,14.444444444444445
12,2.090909090909091,0.1212121212121212,14.393939393939394
13,2.1818181818181817,0.1313131313131313,14.343434343434343
14,2.2727272727272725,0.14141414141414138,14.292929292929292
15,2.3636363636363638,0.15151515151515152,14.242424242424242
16,2.4545454545454546,0.16161616161616163,14.19191919191919
17,2.5454545454545454,0.1717171717171717,14.141414141414142
18,2.6363636363636367,0.18181818181818185,14.090909090909092
19,2.7272727272727275,0.19191919191919193,14.04040404040404
20,2.8181818181818183,0.20202020202020204,13.98989898989899
21,2.909090909090909,0.21212121212121213,13.939393939393941
22,3.0,0.2222222222222222,13.88888888888889
23,3.090909090909091,0.23232323232323232,13.83838383838384
24,3.1818181818181817,0.2424242424242424,13.787878787878789
25,3.272727272727273,0.25252525252525254,13.737373737373737
26,3.3636363636363638,0.26262626262626265,13.686868686868687
27,3.4545454545454546,0.2727272727272727,13.636363636363637
28,3.5454545454545454,0.2828282828282828,13.585858585858585
29,3.6363636363636362,0.29292929292929293,13.535353535353536
30,3.7272727272727275,0.30303030303030304,13.484848484848486
31,3.8181818181818183,0.31313131313131315,13.434343434343434
32,3.909090909090909,0.32323232323232326,13.383838383838382
33,4.0,0.3333333333333333,13.333333333333336
34,4.090909090909091,0.3434343434343434,13.282828282828284
35,4.181818181818182,0.35353535353535354,13.232323232323232
36,4.272727272727273,0.3636363636363637,13.181818181818182
37,4.363636363636363,0.3737373737373737,13.131313131313131
38,4.454545454545455,0.38383838383838387,13.08080808080808
39,4.545454545454545,0.39393939393939387,13.030303030303031
40,4.636363636363637,0.4040404040404041,12.97979797979798
41,4.7272727272727275,0.41414141414141414,12.929292929292927
42,4.818181818181818,0.42424242424242425,12.878787878787879
43,4.909090909090909,0.43434343434343436,12.828282828282829
44,5.0,0.4444444444444444,12.777777777777777
45,5.090909090909091,0.45454545454545453,12.727272727272727
46,5.181818181818182,0.46464646464646464,12.676767676767678
47,5.2727272727272725,0.4747474747474747,12.626262626262626
48,5.363636363636363,0.4848484848484848,12.575757575757576
49,5.454545454545455,0.49494949494949503,12.525252525252526
50,5.545454545454546,0.5050505050505051,12.474747474747474
51,5.636363636363637,0.5151515151515151,12.424242424242424
52,5.7272727272727275,0.5252525252525253,12.373737373737374
53,5.818181818181818,0.5353535353535354,12.323232323232322
54,5.909090909090909,0.5454545454545454,12.272727272727273
55,6.0,0.5555555555555556,12.222222222222223
56,6.090909090909091,0.5656565656565656,12.171717171717171
57,6.181818181818182,0.5757575757575757,12.121212121212121
58,6.2727272727272725,0.5858585858585859,12.070707070707073
59,6.363636363636364,0.595959595959596,12.02020202020202
60,6.454545454545455,0.6060606060606061,11.96969696969697
61,6.545454545454546,0.6161616161616162,11.919191919191919
62,6.636363636363637,0.6262626262626263,11.868686868686869
63,6.7272727272727275,0.6363636363636364,11.818181818181818
64,6.818181818181818,0.6464646464646465,11.767676767676766
65,6.909090909090909,0.6565656565656566,11.717171717171716
66,7.0,0.6666666666666666,11.666666666666668
67,7.090909090909091,0.6767676767676768,11.616161616161616
68,7.181818181818182,0.6868686868686869,11.565656565656566
69,7.2727272727272725,0.6969696969696969,11.515151515151516
70,7.363636363636364,0.7070707070707072,11.464646464646464
71,7.454545454545455,0.7171717171717172,11.414141414141415
72,7.545454545454546,0.7272727272727273,11.363636363636363
73,7.636363636363637,0.7373737373737375,11.313131313131313
74,7.7272727272727275,0.7474747474747475,11.262626262626263
75,7.818181818181818,0.7575757575757576,11.212121212121211
76,7.909090909090909,0.7676767676767677,11.16161616161616
77,8.0,0.7777777777777778,11.11111111111111
78,8.09090909090909,0.7878787878787877,11.060606060606062
79,8.181818181818182,0.797979797979798,11.01010101010101
80,8.272727272727273,0.8080808080808082,10.95959595959596
81,8.363636363636363,0.8181818181818181,10.909090909090908
82,8.454545454545455,0.8282828282828283,10.858585858585858
83,8.545454545454547,0.8383838383838386,10.808080808080806
84,8.636363636363637,0.8484848484848485,10.757575757575758
85,8.727272727272727,0.8585858585858586,10.707070707070708
86,8.818181818181818,0.8686868686868687,10.656565656565657
87,8.90909090909091,0.8787878787878789,10.606060606060606
88,9.0,0.8888888888888888,10.555555555555555
89,9.090909090909092,0.8989898989898991,10.505050505050503
90,9.181818181818182,0.9090909090909091,10.454545454545453
91,9.272727272727273,0.9191919191919192,10.404040404040405
92,9.363636363636363,0.9292929292929293,10.353535353535355
93,9.454545454545455,0.9393939393939394,10.303030303030303
94,9.545454545454545,0.9494949494949494,10.252525252525253
95,9.636363636363637,0.9595959595959597,10.2020202020202
96,9.727272727272727,0.9696969696969696,10.151515151515152
97,9.818181818181818,0.9797979797979798,10.101010101010102
98,9.90909090909091,0.9898989898989901,10.05050505050505
99,10.0,1.0,10.0
