t,value,value_norm,alloc_a,alloc_b
0,1.0,0.0,0.5180339887498948,0.4819660112501052
1,1.0909090909090908,0.010101010101010091,0.5200541907700968,0.47994580922990315
2,1.1818181818181819,0.020202020202020207,0.5220743927902989,0.4779256072097011
3,1.2727272727272727,0.0303030303030303,0.5240945948105008,0.4759054051894992
4,1.3636363636363638,0.040404040404040414,0.5261147968307028,0.47388520316929716
5,1.4545454545454546,0.05050505050505051,0.5281349988509049,0.47186500114909513
6,1.5454545454545454,0.0606060606060606,0.5301552008711069,0.4698447991288931
7,1.6363636363636362,0.07070707070707069,0.5321754028913089,0.46782459710869106
8,1.7272727272727273,0.08080808080808081,0.534195604911511,0.46580439508848903
9,1.8181818181818183,0.09090909090909093,0.536215806931713,0.463784193068287
10,1.9090909090909092,0.10101010101010102,0.5382360089519149,0.4617639910480851
11,2.0,0.1111111111111111,0.540256210972117,0.45974378902788304
12,2.090909090909091,0.1212121212121212,0.542276412992319,0.457723587007681
13,2.1818181818181817,0.1313131313131313,0.544296615012521,0.455703384987479
14,2.2727272727272725,0.14141414141414138,0.5463168170327231,0.45368318296727694
15,2.3636363636363638,0.15151515151515152,0.5483370190529251,0.4516629809470749
16,2.4545454545454546,0.16161616161616163,0.5503572210731271,0.4496427789268729
17,2.5454545454545454,0.1717171717171717,0.5523774230933292,0.44762257690667084
18,2.6363636363636367,0.18181818181818185,0.5543976251135312,0.4456023748864688
19,2.7272727272727275,0.19191919191919193,0.5564178271337332,0.4435821728662668
20,2.8181818181818183,0.20202020202020204,0.5584380291539353,0.44156197084606474
21,2.909090909090909,0.21212121212121213,0.5604582311741372,0.4395417688258628
22,3.0,0.2222222222222222,0.5624784331943392,0.4375215668056608
23,3.090909090909091,0.23232323232323232,0.5644986352145412,0.43550136478545876
24,3.1818181818181817,0.2424242424242424,0.5665188372347433,0.4334811627652567
25,3.272727272727273,0.25252525252525254,0.5685390392549453,0.4314609607450547
26,3.3636363636363638,0.26262626262626265,0.5705592412751473,0.42944075872485266
27,3.4545454545454546,0.2727272727272727,0.5725794432953494,0.4274205567046506
28,3.5454545454545454,0.2828282828282828,0.5745996453155513,0.4254003546844487
29,3.6363636363636362,0.29292929292929293,0.5766198473357533,0.42338015266424667
30,3.7272727272727275,0.30303030303030304,0.5786400493559554,0.42135995064404463
31,3.8181818181818183,0.31313131313131315,0.5806602513761574,0.4193397486238426
