t,value,value_norm,alloc_a,alloc_b
0,2.5,0.0,0.5180339887498948,0.4819660112501052
1,2.538961038961039,0.005994005994005979,0.5192327899486959,0.4807672100513041
2,2.5779220779220777,0.011988011988011959,0.5204315911474972,0.47956840885250285
3,2.616883116883117,0.017982017982018005,0.5216303923462984,0.4783696076537016
4,2.655844155844156,0.023976023976023983,0.5228291935450996,0.4771708064549004
5,2.6948051948051948,0.02997002997002996,0.5240279947439008,0.4759720052560992
6,2.7337662337662336,0.03596403596403594,0.5252267959427019,0.47477320405729806
7,2.7727272727272725,0.04195804195804192,0.5264255971415032,0.47357440285849683
8,2.811688311688312,0.047952047952047966,0.5276243983403044,0.4723756016596956
9,2.8506493506493507,0.053946053946053944,0.5288231995391056,0.4711768004608944
10,2.8896103896103895,0.05994005994005992,0.5300220007379067,0.46997799926209327
11,2.9285714285714284,0.06593406593406591,0.531220801936708,0.46877919806329205
12,3.0259740259740258,0.08091908091908089,0.534217804933711,0.46578219506628904
13,3.1233766233766236,0.09590409590409593,0.537214807930714,0.46278519206928603
14,3.220779220779221,0.11088911088911092,0.540211810927717,0.459788189072283
15,3.3181818181818183,0.1258741258741259,0.54320881392472,0.45679118607528
16,3.4155844155844157,0.1408591408591409,0.546205816921723,0.453794183078277
17,3.512987012987013,0.15584415584415587,0.549202819918726,0.450797180081274
18,3.6103896103896105,0.17082917082917085,0.552199822915729,0.447800177084271
19,3.707792207792208,0.18581418581418582,0.555196825912732,0.444803174087268
20,3.8051948051948057,0.20079920079920088,0.558193828909735,0.441806171090265
21,3.9025974025974026,0.21578421578421578,0.5611908319067379,0.4388091680932621
22,4.0,0.23076923076923078,0.5641878349037409,0.4358121650962591
23,4.0606060606060606,0.2400932400932401,0.5660526367685428,0.4339473632314572
24,4.121212121212121,0.2494172494172494,0.5679174386333447,0.43208256136665535
25,4.181818181818182,0.2587412587412587,0.5697822404981465,0.4302177595018535
26,4.242424242424243,0.26806526806526815,0.5716470423629484,0.4283529576370516
27,4.303030303030304,0.2773892773892775,0.5735118442277503,0.42648815577224974
28,4.363636363636364,0.2867132867132868,0.5753766460925521,0.4246233539074479
29,4.424242424242425,0.2960372960372961,0.577241447957354,0.422758552042646
30,4.484848484848485,0.30536130536130546,0.5791062498221559,0.42089375017784414
31,4.545454545454546,0.31468531468531474,0.5809710516869577,0.41902894831304227
32,4.606060606060606,0.3240093240093241,0.5828358535517596,0.4171641464482404
33,4.666666666666668,0.33333333333333354,0.5847006554165615,0.41529934458343853
34,4.787878787878789,0.35198135198135216,0.5884302591461652,0.4115697408538348
35,4.90909090909091,0.3706293706293708,0.5921598628757689,0.40784013712423106
36,5.03030303030303,0.38927738927738925,0.5958894666053727,0.4041105333946273
37,5.151515151515152,0.40792540792540805,0.5996190703349764,0.4003809296650236
38,5.272727272727273,0.4265734265734267,0.6033486740645801,0.39665132593541985
39,5.3939393939393945,0.4452214452214453,0.6070782777941839,0.3929217222058161
40,5.515151515151516,0.4638694638694639,0.6108078815237876,0.3891921184762124
41,5.636363636363637,0.48251748251748255,0.6145374852533914,0.38546251474660864
42,5.757575757575757,0.5011655011655011,0.618267088982995,0.381732911017005
43,5.878787878787879,0.5198135198135199,0.6219966927125987,0.3780033072874013
44,5.999999999999999,0.5384615384615383,0.6257262964422025,0.37427370355779754
45,6.0606060606060606,0.5477855477855478,0.6275910983070043,0.3724089016929957
46,6.121212121212121,0.5571095571095571,0.6294559001718062,0.3705440998281938
47,6.181818181818182,0.5664335664335665,0.6313207020366081,0.36867929796339194
48,6.242424242424242,0.5757575757575757,0.6331855039014099,0.36681449609859007
49,6.303030303030303,0.585081585081585,0.6350503057662118,0.3649496942337882
50,6.363636363636363,0.5944055944055944,0.6369151076310137,0.36308489236898633
51,6.424242424242425,0.6037296037296038,0.6387799094958155,0.36122009050418447
52,6.484848484848485,0.6130536130536132,0.6406447113606174,0.3593552886393826
53,6.545454545454546,0.6223776223776224,0.6425095132254193,0.35749048677458073
54,6.606060606060606,0.6317016317016317,0.6443743150902211,0.35562568490977886
55,6.666666666666667,0.6410256410256411,0.646239116955023,0.353760883044977
56,6.787878787878789,0.6596736596736599,0.6499687206846267,0.35003127931537326
57,6.90909090909091,0.6783216783216784,0.6536983244142305,0.3463016755857695
58,7.03030303030303,0.696969696969697,0.6574279281438342,0.3425720718561658
59,7.151515151515152,0.7156177156177157,0.661157531873438,0.33884246812656205
60,7.272727272727273,0.7342657342657344,0.6648871356030417,0.3351128643969583
61,7.393939393939395,0.7529137529137532,0.6686167393326454,0.3313832606673546
62,7.515151515151516,0.7715617715617716,0.6723463430622492,0.32765365693775084
63,7.636363636363638,0.7902097902097904,0.6760759467918529,0.3239240532081471
64,7.757575757575759,0.808857808857809,0.6798055505214566,0.32019444947854336
65,7.878787878787879,0.8275058275058276,0.6835351542510603,0.31646484574893974
66,8.0,0.8461538461538461,0.687264757980664,0.312735242019336
67,8.06060606060606,0.8554778554778555,0.6891295598454659,0.31087044015453413
68,8.121212121212123,0.864801864801865,0.6909943617102678,0.30900563828973215
69,8.181818181818183,0.8741258741258744,0.6928591635750697,0.3071408364249303
70,8.242424242424244,0.8834498834498837,0.6947239654398716,0.3052760345601284
71,8.303030303030305,0.892773892773893,0.6965887673046733,0.30341123269532666
72,8.363636363636365,0.9020979020979023,0.6984535691694753,0.3015464308305247
