t,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,psd_slope,lzc,pac_tg_mi,y_true,y_hat,err,sched
0,0.02497904112591552,0.46856676885260795,0.006541316253093656,0.022972313154307186,0.20431555622308414,-0.9881398395619463,0.09375,0.0009476418485813814,0.016777947062087954,0.0005994939305873843,0.01617845313150057,1.0
1,0.04959368854838821,0.477163582342828,0.014574865460449784,0.02242539234956454,0.1838464830289056,-1.5491044640926883,0.0625,0.0004798642054926114,0.01262641415994152,-0.0002796511236557407,0.012906065283597262,0.9998026241462927
2,0.16147758964192668,0.44869906057728864,0.023599692244208256,0.03850103575537875,0.21351750641790224,-1.3152302048909867,0.875,0.0011657552810358477,0.018475177942258187,-0.0019621263125447048,0.02043730425480289,0.9992106913713086
3,0.12213780891961433,0.47517282415946255,0.03882938911644365,0.02227028895370161,0.18165383687008635,-1.6498040529405613,0.0625,0.0007688991708952166,-0.017106105993401653,0.004024651213916998,-0.02113075720731865,0.9982247858412321
4,0.035108697673368196,0.5619294055738975,0.020438462604194456,0.021756227711526417,0.19348048091317618,-1.1729986948584998,0.1875,0.0008456210960842093,-0.020253171889340785,0.002283236470202501,-0.022536408359543285,0.9968458805257912
5,0.04561075858964939,0.5569307124996298,0.024253756017741872,0.035536111723778005,0.2050927220479028,-1.2271721586274373,0.375,0.0011640717033422376,-0.03943365819824012,-0.0008704962447575865,-0.038563161953482535,0.9950753362380551
6,0.005945523401233632,0.7763040649546583,0.05187256977622439,0.05701947751481374,0.18977179789257484,-0.6793318301305041,0.0625,0.001199620269432115,-0.04073880050579518,0.0017596175384400289,-0.04249841804423521,0.9929149002914757
7,0.03744408538959543,0.5587364093347653,0.03188526700581519,0.02134809487185997,0.19877434818773493,-1.23448563024277,0.0625,0.0009779411405256668,-0.0544914200014074,-0.005728674518962437,-0.04876274548244496,0.9903667047754989
8,0.022833836644430297,0.61832982311727,0.053297280072517855,0.028764568755130934,0.1466732521949719,-0.9366820978801841,0.15625,0.0013962552267431669,-0.04046757381483285,-0.007723213905343138,-0.032744359909489706,0.9874332644514525
9,0.07099353694921853,0.3006201246512217,0.022779166970453638,0.035570846893005416,0.19536576971137515,-1.2901695060850862,0.0625,0.0008625729253021584,-0.009937752160498881,-0.014427063672564529,0.004489311512065648,0.9841174742707772
10,0.0021803223749159214,0.5081818802344938,0.008894693021599096,0.02146702147965499,0.17539125249636958,-0.7984522312747988,0.09375,0.000393014339904235,-0.018070247994557406,-0.007689985328738785,-0.01038026266581862,0.9804226065180615
11,0.10535753163878891,0.4577208801598512,0.03449987403401697,0.01618603818377168,0.18641454314954575,-1.4418348151633664,0.09375,0.002020510834428895,-0.019796916623597602,-0.015962799596752602,-0.003834117026845,0.9763523075816902
12,0.06022873577507863,0.320633412838361,0.03148141815749497,0.022395944839049258,0.191854509751919,-1.0618987204653882,0.4375,0.001536916649082847,-0.029451638032491192,-0.014082732780761376,-0.015368905251729816,0.9719105943553006
13,0.01948040990700879,0.7413042433147136,0.018078237107237036,0.02712282953041298,0.24126587677076486,-0.8207447258404267,0.125,0.000987848136922229,-0.04313968019080537,-0.008630783166908162,-0.03450889702389721,0.9671018502735924
14,0.03503751316018626,0.5044849743829414,0.012909987495023676,0.022384621465167228,0.2020010494912119,-1.354100828012879,0.15625,0.001393544251159146,-0.004727801600182636,-0.019626596157727026,0.014898794557544389,0.9619308209864079
15,0.09287468595271325,0.4757327455636804,0.046029139454033696,0.02912240386480225,0.15610549131863607,-1.5902811416730631,0.0625,0.0004799822711630364,-0.03224780109268979,-0.021042172257666275,-0.011205628835023518,0.9564026096753471
16,0.1086088674432125,0.6964056603025096,0.02036660730536774,0.018399020164145838,0.2060484880280155,-1.906625494522978,0.0625,0.0010458795435496872,-0.06638751399246555,-0.02650401476859869,-0.03988349922386686,0.9505226720175455
17,0.016159442773082754,0.36096070409181835,0.08133488618466354,0.024780180075296566,0.2223844255465348,-0.9908617733283346,0.09375,0.0010253162232153482,-0.018698486850267364,-0.01763927546717091,-0.0010592113830964547,0.9442968108015775
18,0.028402581031524602,0.4935307433910757,0.024296013978393413,0.0240432037025026,0.1747125958073921,-1.0637150745254884,0.09375,0.0010096908823265028,-0.0025877122814152755,-0.01947408720258779,0.016886374921172516,0.937731170200806
19,0.03555365274187642,0.42574623690549246,0.01626261910390118,0.03784825932368764,0.19392120560172324,-1.2914481897661017,0.0625,0.0010213441441469604,-0.0017061297020324689,-0.022326806125896284,0.020620676423863817,0.9308322297098248
20,0.12187349622567767,0.698839944223891,0.02005944086962604,0.027339562337036022,0.19360165113779615,-1.4613631783878538,0.15625,0.00048444517150503897,0.029225576114919515,-0.023266607414736202,0.05249218352965572,0.9236067977499791
21,0.04890077936471224,0.3106733377730969,0.012155895027279758,0.02248058786360236,0.20158754775746757,-0.8459902691968678,0.21875,0.0007472858367697658,0.020939456808218168,-0.010188239922296474,0.03112769673051464,0.9160620049502761
22,0.09154670329552266,0.5996004014851011,0.030267228746151995,0.0410360257576183,0.17466786490815558,-1.5363700886813851,0.0625,0.0009468842399446894,-0.013335058965729743,-0.015599575423050198,0.002264516457320455,0.9082052971103158
23,0.08477218169055573,0.5233293124552433,0.0074072169805782,0.03554174746793394,0.18628948291569902,-1.4379013307962096,0.0625,0.0012539155778855888,-0.028574881538127022,-0.014324425809660769,-0.014250455728466253,0.900044427852184
24,0.1937478211788178,0.59974767091625,0.02499000866020729,0.02842350673162124,0.18809203606498656,-1.5920028905857915,0.21875,0.00045443822931256854,-0.0342216385110237,-0.017971122719542862,-0.01625051579148084,0.8915874509685646
25,0.05492715155847475,0.6275914482494126,0.025745460958164552,0.029118009666180153,0.18418049669862424,-1.1616575222900225,0.0625,0.0004892782317628121,-0.006472574212125987,-0.013689253725361986,0.007216679513235999,0.882842712474619
26,0.03696141233799045,0.5409942343711649,0.046585022612603874,0.01762641626002912,0.19264278239185306,-1.5171617103341344,0.1875,0.0020571249354516723,0.008087924929102153,-0.01864351702824156,0.026731441957343713,0.8738188423714754
27,0.010475511410003142,0.6191828019428867,0.036552016974151495,0.018773525811232098,0.22094579892766272,-1.1201615324804637,0.40625,0.0010063867177470907,0.0184460570315872,-0.011776088799958595,0.030222145831545796,0.8645247461294607
28,0.01658594984157205,0.7028446727955213,0.013012184781076613,0.013784233480636386,0.2471780028831925,-1.0460712031970938,0.21875,0.0023239084432344847,0.05055892139809399,-0.007061595390759407,0.057620516788853396,0.8549695958994759
29,0.03062709042866192,0.6723307924240467,0.015546943354093273,0.027997435151800535,0.19358279372315074,-0.9178136869895962,0.0625,0.0009442706985798004,0.07441165142208248,-0.0019639798822812964,0.07637563130436377,0.8451628214611906
30,0.06475016246462666,0.3909192443367167,0.008474726471684547,0.018479367674378078,0.17956189499168573,-1.3368698495868159,0.34375,0.0012174936743283328,0.06351390329544157,-0.0029990021697671215,0.06651290546520869,0.8351141009169893
31,0.043170876256689125,0.518706075716182,0.01597575840574455,0.014089448695820189,0.19948366914962987,-1.5284048733543847,0.28125,0.001292231060506713,0.0706875548018368,0.004198581326796357,0.06648897347504044,0.8248333511408523
32,0.034287603502433345,0.4736037287292269,0.03977479474229062,0.029432932429278816,0.18385698262031863,-0.9678096103746453,0.0625,0.000826388448491155,0.04936276447822544,0.009667912258869702,0.03969485221935574,0.8143307179915986
33,0.08134753399825642,0.48074712935245045,0.017897141564355193,0.02379160180575416,0.20119049708361575,-1.4242676163333514,0.0625,0.0005292306723627149,0.04438351289185347,0.014228078189737292,0.03015543470211618,0.8036165663001487
34,0.0584897408706014,0.4347263342211548,0.01354287212140008,0.0334276529652434,0.18043166750466094,-1.1133898569363005,0.0625,0.0012358187677946183,0.03649776636271214,0.014018380319923893,0.022479386042788246,0.7927014696406862
35,0.03949712789740929,1.1262447241512947,0.052444767580371816,0.030715963115923492,0.1854760534533725,-1.1605929615538297,0.625,0.0015362038375180392,0.02707700311643345,0.02290188661316606,0.004175116503267389,0.7815961998958187
36,0.1627586346441854,0.6361092711673217,0.032824153452210056,0.0222349929090626,0.19199488974598666,-1.595858888269661,0.25,0.0009296322937524476,0.02401401020230173,0.02213466758362733,0.001879342618674399,0.7703117166260292
