t,y,y_true,y_hat,err,sched
0,-0.048196619219641294,-0.02049496504505548,0.0027966017068053513,-0.02329156675186083,1.0
1,-0.06149324298896652,-0.048196619219641294,0.007901725322502794,-0.05609834454214409,0.9998026241462927
2,-0.05740669180478686,-0.06149324298896652,-0.000742684832436722,-0.0607505581565298,0.9992106913713086
3,-0.04816585894703488,-0.05740669180478686,-0.001521568479272626,-0.055885123325514235,0.9982247858412321
4,-0.05664221541087309,-0.04816585894703488,-0.005417695784488423,-0.042748163162546454,0.9968458805257912
5,-0.04779856006017711,-0.05664221541087309,-0.01536693678648926,-0.04127527862438383,0.9950753362380551
6,-0.04691003429938915,-0.04779856006017711,-0.017030767728295048,-0.030767792331882062,0.9929149002914757
7,-0.0500760102261845,-0.04691003429938915,-0.02425235357263905,-0.022657680726750097,0.9903667047754989
8,-0.04807763453392649,-0.0500760102261845,-0.025269315077124058,-0.02480669514906044,0.9874332644514525
9,-0.02894572442331646,-0.04807763453392649,-0.031014197189639305,-0.017063437344287183,0.9841174742707772
10,-0.02555033714308771,-0.02894572442331646,-0.02819424714783044,-0.0007514772754860198,0.9804226065180615
11,-0.036653321282466775,-0.02555033714308771,-0.028606853521274192,0.003056516378186481,0.9763523075816902
12,-0.09044276736427105,-0.036653321282466775,-0.02601327284943083,-0.010640048433035943,0.9719105943553006
13,-0.09940777233773011,-0.09044276736427105,-0.03653503028168806,-0.05390773708258299,0.9671018502735924
14,-0.11919458960200997,-0.09940777233773011,-0.03009010213890121,-0.0693176701988289,0.9619308209864079
15,-0.13780952642172486,-0.11919458960200997,-0.04783940956850573,-0.07135518003350425,0.9564026096753471
16,-0.12420854954255883,-0.13780952642172486,-0.0700364506965754,-0.06777307572514947,0.9505226720175455
17,-0.13949686305839434,-0.12420854954255883,-0.061912609259248776,-0.06229594028331006,0.9442968108015775
18,-0.13437314980964232,-0.13949686305839434,-0.06139789440803761,-0.07809896865035673,0.937731170200806
19,-0.16196879248800922,-0.13437314980964232,-0.08860249041488907,-0.04577065939475325,0.9308322297098248
20,-0.18438772451496901,-0.16196879248800922,-0.0890104280278868,-0.07295836446012241,0.9236067977499791
21,-0.1760596627721739,-0.18438772451496901,-0.10112682325585554,-0.08326090125911348,0.9160620049502761
22,-0.1984261146233742,-0.1760596627721739,-0.1076394771049929,-0.06842018566718101,0.9082052971103158
23,-0.20261847587806942,-0.1984261146233742,-0.06895888675513928,-0.12946722786823492,0.900044427852184
24,-0.19319354224257396,-0.20261847587806942,-0.1037650402602868,-0.09885343561778262,0.8915874509685646
25,-0.16005298460557388,-0.19319354224257396,-0.10614187206696361,-0.08705167017561034,0.882842712474619
26,-0.1811744962555083,-0.16005298460557388,-0.10386138549458977,-0.056191599110984106,0.8738188423714754
27,-0.17599223791079247,-0.1811744962555083,-0.17059197315786434,-0.010582523097643959,0.8645247461294607
28,-0.23321368664037592,-0.17599223791079247,-0.13980677420515253,-0.036185463705639936,0.8549695958994759
29,-0.21928983869108234,-0.23321368664037592,-0.14976145528204152,-0.0834522313583344,0.8451628214611906
30,-0.2104602394089576,-0.21928983869108234,-0.16456652710977804,-0.05472331158130431,0.8351141009169893
31,-0.22122799842059665,-0.2104602394089576,-0.16846295568411426,-0.04199728372484335,0.8248333511408523
32,-0.2549568930815524,-0.22122799842059665,-0.16712946428085734,-0.05409853413973931,0.8143307179915986
33,-0.2821556597253012,-0.2549568930815524,-0.1460614527999572,-0.1088954402815952,0.8036165663001487
34,-0.23061991923461414,-0.2821556597253012,-0.16850516090015036,-0.11365049882515085,0.7927014696406862
35,-0.2255266353509621,-0.23061991923461414,-0.22451543443234578,-0.006104484802268356,0.7815961998958187
36,-0.25319189982438367,-0.2255266353509621,-0.22050444229922367,-0.005022193051738427,0.7703117166260292
37,-0.2794746696729123,-0.25319189982438367,-0.14489685724780274,-0.10829504257658093,0.7588591562539122
38,-0.27006035153946834,-0.2794746696729123,-0.17262351577941412,-0.10685115389349817,0.7472498210738714
39,-0.2731809220751158,-0.27006035153946834,-0.21105489569170904,-0.05900545584775929,0.7354951680981168
40,-0.2669393131700725,-0.2731809220751158,-0.22868292396701495,-0.044497998108100845,0.7236067977499789
41,-0.24804659761844325,-0.2669393131700725,-0.20238818532658623,-0.0645511278434863,0.7115964424156918
42,-0.24071762097580165,-0.24804659761844325,-0.18647996973755915,-0.0615666278808841,0.6994759548659419
43,-0.21634314914088387,-0.24071762097580165,-0.21634352145068625,-0.024374099525115406,0.6872572965586171
44,-0.2186294539695294,-0.21634314914088387,-0.292759528403763,0.07641637926287914,0.6749525258342899
45,-0.22080022697720086,-0.2186294539695294,-0.22971379660018904,0.011084342630659633,0.6625737860160924
46,-0.21155799911139228,-0.22080022697720086,-0.2866088513246298,0.06580862434742896,0.6501332934257218
47,-0.1962318590435626,-0.21155799911139228,-0.23594366597767916,0.024385666866286876,0.6376433253274058
48,-0.19705337598181913,-0.1962318590435626,-0.1795482879862864,-0.01668357105727622,0.6251162078117254
49,-0.20333954899153434,-0.19705337598181913,-0.1867786254196764,-0.01027475056214272,0.6125643036312514
50,-0.17490360290634738,-0.20333954899153434,-0.2255577461583821,0.022218197166847753,0.6000000000000001
51,-0.17204053879820233,-0.17490360290634738,-0.17177319326032706,-0.0031304096460203212,0.5874356963687487
52,-0.13643065940911084,-0.17204053879820233,-0.19231133304419584,0.020270794245993512,0.5748837921882747
53,-0.11913593706978651,-0.13643065940911084,-0.21151439360296875,0.07508373419385792,0.5623566746725943
54,-0.09100376015513617,-0.11913593706978651,-0.24303209568027512,0.12389615861048861,0.5498667065742784
55,-0.08968958865584901,-0.09100376015513617,-0.1705596834728507,0.07955592331771452,0.5374262139839077
56,-0.08202561510388458,-0.08968958865584901,-0.21372457289451674,0.12403498423866773,0.5250474741657102
57,-0.10690317633989556,-0.08202561510388458,-0.11659072885070575,0.03456511374682117,0.5127427034413832
58,-0.13454904881915344,-0.10690317633989556,-0.08482466293298534,-0.022078513406910222,0.500524045134058
59,-0.1027726396076641,-0.13454904881915344,-0.18416029220232397,0.04961124338317052,0.48840355758430837
60,-0.11228459544651814,-0.1027726396076641,-0.15401285896267908,0.05124021935501498,0.4763932022500212
61,-0.09433408673959477,-0.11228459544651814,-0.19222990858859315,0.07994531314207501,0.46450483190188346
62,-0.04712525764830795,-0.09433408673959477,-0.16205804648142383,0.06772395974182906,0.45275017892612895
63,-0.041401501852291196,-0.04712525764830795,-0.1359560593163228,0.08883080166801484,0.44114084374608775
64,-0.0701588716861199,-0.041401501852291196,-0.18420298161553653,0.14280147976324534,0.42968828337397097
65,-0.04429609912512164,-0.0701588716861199,-0.09087722811983671,0.02071835643371682,0.4184038001041813
66,-0.0345129307491197,-0.04429609912512164,-0.12476879577408267,0.08047269664896103,0.40729853035931385
67,-0.030754604385270144,-0.0345129307491197,-0.10041775099309258,0.06590482024397287,0.3963834336998515
68,-0.041767645885313696,-0.030754604385270144,-0.13447975579143642,0.10372515140616628,0.3856692820084013
69,-0.028291130445659632,-0.041767645885313696,-0.13842095382666217,0.09665330794134847,0.37516664885914774
70,-0.030157994368327893,-0.028291130445659632,-0.15074717326585926,0.12245604282019963,0.36488589908301083
71,-0.006619232283164405,-0.030157994368327893,-0.11284339843284033,0.08268540406451244,0.35483717853880936
72,-0.03174738386319282,-0.006619232283164405,-0.1352448285084741,0.1286255962253097,0.3450304041005241
73,-0.04427655547748012,-0.03174738386319282,-0.1292200698323332,0.09747268596914038,0.33547525387053934
74,-0.06311043447884267,-0.04427655547748012,-0.1027660506369827,0.05848949515950258,0.3261811576285245
75,-0.03632455216127952,-0.06311043447884267,-0.08968372838914415,0.026573293910301485,0.317157287525381
76,-0.06856813223007087,-0.03632455216127952,-0.10656025793416837,0.07023570577288885,0.3084125490314355
77,-0.056844524246359565,-0.06856813223007087,-0.07103420590385462,0.00246607367378375,0.2999555721478162
78,-0.061781700362815294,-0.056844524246359565,-0.11604096836380054,0.059196444117440974,0.29179470288968434
79,-0.05683861964175067,-0.061781700362815294,-0.11972981708111716,0.05794811671830186,0.28393799504972383
80,-0.045178421067861185,-0.05683861964175067,-0.1133483426692018,0.05650972302745112,0.27639320225002106
81,-0.025811948922961594,-0.045178421067861185,-0.08854393206922455,0.04336551100136336,0.26916777029017536
82,0.002505836653220656,-0.025811948922961594,-0.11005423081565746,0.08424228189269586,0.2622688297991941
83,0.005347792495812086,0.002505836653220656,-0.13114523849260165,0.1336510751458223,0.2557031891984225
84,0.0101897273847539,0.005347792495812086,-0.08284142473092866,0.08818921722674075,0.2494773279824546
85,-0.013458121423528327,0.0101897273847539,-0.07940943930421351,0.08959916668896742,0.24359739032465288
86,-0.02674924998164057,-0.013458121423528327,-0.08116445615154681,0.06770633472801849,0.23806917901359226
87,-0.04696006851669581,-0.02674924998164057,-0.09132892258299055,0.06457967260134997,0.23289814972640766
88,-0.06354643839352161,-0.04696006851669581,-0.07886182117075916,0.031901752654063344,0.22808940564469948
89,-0.0828562836271671,-0.06354643839352161,-0.08168996039489639,0.01814352200137477,0.22364769241830984
90,-0.041851863075191564,-0.0828562836271671,-0.06630063302021567,-0.016555650606951425,0.2195773934819386
91,-0.058337019525169856,-0.041851863075191564,-0.10948384901474936,0.0676319859395578,0.21588252572922284
92,-0.06573783200119104,-0.058337019525169856,-0.10749491796938426,0.04915789844421441,0.21256673554854763
93,-0.06598060362145586,-0.06573783200119104,-0.09026703726336475,0.02452920526217371,0.20963329522450108
94,-0.06681443475806706,-0.06598060362145586,-0.07437401259394599,0.008393408972490135,0.2070850997085245
95,-0.10145781968477274,-0.06681443475806706,-0.09255040074016596,0.025735965982098902,0.20492466376194496
96,-0.10514394883360918,-0.10145781968477274,-0.08027748448332223,-0.021180335201450518,0.20315411947420892
97,-0.10805624855804713,-0.10514394883360918,-0.0858359112484299,-0.01930803758517928,0.201775214158768
98,-0.09379686801325034,-0.10805624855804713,-0.0885761369964584,-0.019480111561588728,0.20078930862869138
99,-0.10441305765177053,-0.09379686801325034,-0.08761044363140474,-0.006186424381845593,0.20019737585370737
100,-0.1183416327151151,-0.10441305765177053,-0.08555983079375097,-0.01885322685801956,0.2
101,-0.10114845094751833,-0.1183416327151151,-0.06520470925434675,-0.05313692346076834,0.20019737585370737
102,-0.09600728762895863,-0.10114845094751833,-0.06765456669660637,-0.03349388425091196,0.20078930862869138
103,-0.07293441890067034,-0.09600728762895863,-0.09080590291082484,-0.005201384718133792,0.201775214158768
104,-0.1023020654513793,-0.07293441890067034,-0.07643348098725264,0.003499062086582294,0.20315411947420886
105,-0.06660358486149533,-0.1023020654513793,-0.0878906001825303,-0.01441146526884901,0.2049246637619449
106,-0.07391984869979759,-0.06660358486149533,-0.08529874590714666,0.018695161045651332,0.20708509970852457
107,-0.06856187908591653,-0.07391984869979759,-0.08838032255804026,0.014460473858242673,0.20963329522450103
108,-0.03253762413127985,-0.06856187908591653,-0.07931959930422625,0.010757720218309716,0.21256673554854755
109,-0.021117894338204338,-0.03253762413127985,-0.10750010754530544,0.07496248341402559,0.21588252572922273
110,-0.007760021381574708,-0.021117894338204338,-0.101625014407615,0.08050712006941066,0.21957739348193855
111,-0.005031708552810595,-0.007760021381574708,-0.09007219292247885,0.08231217154090414,0.22364769241830984
112,-1.0721651735071287e-05,-0.005031708552810595,-0.0648744722386635,0.059842763685852896,0.22808940564469943
113,-0.017694577642280034,-1.0721651735071287e-05,-0.06794266816517801,0.06793194651344293,0.23289814972640752
