t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.0,0.08925092220306396,0.7739560008049011,0.6545714735984802,0.4388784170150757,0.43301522731781006,0.8585978746414185,0.08594560623168945,0.6973680257797241,0.20146948099136353,0.09417730569839478
1.0,0.18150094151496887,0.8402615189552307,0.7283446788787842,0.5374467372894287,0.5136528611183167,0.9325101375579834,0.1827075034379959,0.7730628848075867,0.2917848229408264,0.1744697242975235
2.0,0.27852359414100647,0.9138563275337219,0.8091736435890198,0.6401607394218445,0.6002222299575806,1.0132910013198853,0.28430622816085815,0.8552069067955017,0.38738182187080383,0.2610336244106293
3.0,0.3803529143333435,0.9946801066398621,0.8968737125396729,0.7469674348831177,0.6927334070205688,1.100777506828308,0.3906433880329132,0.9437584280967712,0.4881919026374817,0.3538771867752075
4.0,0.4868910610675812,1.082506775856018,0.9911078214645386,0.8576897978782654,0.7910323739051819,1.1946440935134888,0.5014929175376892,1.0385032892227173,0.5940122008323669,0.45284324884414673
5.0,0.5979018807411194,1.1769380569458008,1.0913902521133423,0.9720316529273987,0.8947969675064087,1.2944083213806152,0.6165049076080322,1.1390541791915894,0.7045058608055115,0.5576030611991882
6.0,0.6630183458328247,1.2274150848388672,1.1471065282821655,1.0395954847335815,0.9535518288612366,1.3494542837142944,0.6852235794067383,1.194869875907898,0.7692164778709412,0.6176689863204956
7.0,0.7301259636878967,1.2810500860214233,1.2056182622909546,1.1086750030517578,1.0148637294769287,1.4072394371032715,0.7557179927825928,1.2534313201904297,0.8360238075256348,0.6804479956626892
8.0,0.7991172075271606,1.3376398086547852,1.2667121887207031,1.1791564226150513,1.0785603523254395,1.4675440788269043,0.8278511762619019,1.31453537940979,0.904778003692627,0.7457636594772339
9.0,0.8698582649230957,1.396955966949463,1.3301581144332886,1.2509082555770874,1.144446611404419,1.5301321744918823,0.9014678597450256,1.3779581785202026,0.975309431552887,0.8134147524833679
10.0,0.9421935677528381,1.4587512016296387,1.3957147598266602,1.3237855434417725,1.21230947971344,1.5947576761245728,0.9764000177383423,1.443461537361145,1.047433853149414,0.8831813931465149
11.0,1.0159518718719482,1.5227664709091187,1.463135004043579,1.3976354598999023,1.2819254398345947,1.6611707210540771,1.0524721145629883,1.510799765586853,1.1209580898284912,0.954831063747406
12.0,1.0909523963928223,1.5887371301651,1.5321719646453857,1.4723020792007446,1.3530666828155518,1.7291237115859985,1.1295063495635986,1.5797264575958252,1.1956851482391357,1.0281258821487427
13.0,1.1670098304748535,1.6563998460769653,1.6025841236114502,1.547629952430725,1.425506591796875,1.798376441001892,1.2073267698287964,1.6500004529953003,1.2714197635650635,1.1028283834457397
14.0,1.243940830230713,1.7254986763000488,1.6741398572921753,1.6234687566757202,1.4990259408950806,1.868700385093689,1.2857639789581299,1.7213902473449707,1.3479723930358887,1.1787075996398926
15.0,1.3215672969818115,1.7957894802093506,1.7466208934783936,1.6996757984161377,1.5734158754348755,1.9398819208145142,1.3646576404571533,1.7936784029006958,1.4251629114151,1.2555428743362427
16.0,1.399720549583435,1.8670438528060913,1.8198249340057373,1.7761179208755493,1.6484817266464233,2.0117244720458984,1.4438588619232178,1.8666638135910034,1.502822995185852,1.3331278562545776
17.0,1.4782434701919556,1.9390510320663452,1.8935673236846924,1.8526729345321655,1.7240445613861084,2.084049701690674,1.5232312679290771,1.940163016319275,1.5807985067367554,1.411272406578064
18.0,1.5569924116134644,2.011620044708252,1.9676810503005981,1.9292306900024414,1.7999426126480103,2.1566975116729736,1.6026523113250732,2.0140111446380615,1.658949375152588,1.4898037910461426
19.0,1.635837435722351,2.0845792293548584,2.042017698287964,2.005692481994629,1.8760309219360352,2.2295258045196533,1.6820122003555298,2.088061809539795,1.73715078830719,1.5685672760009766
20.0,1.7146629095077515,2.157776355743408,2.116446018218994,2.0819714069366455,1.9521814584732056,2.30241060256958,1.7612146139144897,2.1621856689453125,1.8152917623519897,1.6474257707595825
21.0,1.8433668613433838,2.2810778617858887,2.2408511638641357,2.207991361618042,2.0782816410064697,2.4252426624298096,1.8901751041412354,2.2862703800201416,1.943275809288025,1.7762588262557983
