t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.0,0.8675854802131653,0.019323408603668213,0.9912846088409424,0.33407747745513916,0.12014907598495483,0.6022059321403503,0.8251678347587585,0.29559481143951416,0.3980356454849243,0.1392120122909546
1.0,0.8847877383232117,0.05229989066720009,1.0194350481033325,0.37308958172798157,0.172828808426857,0.637823760509491,0.8500095009803772,0.34579744935035706,0.4271150827407837,0.17441099882125854
2.0,0.9050818681716919,0.08802090585231781,1.0504616498947144,0.4140639901161194,0.226644828915596,0.6760284304618835,0.8782618045806885,0.39758604764938354,0.45898959040641785,0.21146588027477264
3.0,0.9285558462142944,0.12656375765800476,1.0844078063964844,0.4571226239204407,0.28173065185546875,0.7168833613395691,0.9099521040916443,0.4510681629180908,0.49374040961265564,0.2505451440811157
4.0,0.9552867412567139,0.16799357533454895,1.1213024854660034,0.5023732781410217,0.33820709586143494,0.7604345679283142,0.9450885057449341,0.5063329935073853,0.5314350128173828,0.29180610179901123
5.0,0.98533695936203,0.21235960721969604,1.1611570119857788,0.5499061346054077,0.39617928862571716,0.8067075610160828,0.9836568236351013,0.5634483695030212,0.5721235871315002,0.33539053797721863
6.0,1.0187504291534424,0.2596913278102875,1.2039618492126465,0.5997902750968933,0.4557338058948517,0.8557040691375732,1.0256175994873047,0.622458279132843,0.6158353090286255,0.3814202547073364
7.0,1.055548071861267,0.30999478697776794,1.2496840953826904,0.6520704627037048,0.5169356465339661,0.907399594783783,1.0709038972854614,0.6833804845809937,0.6625747084617615,0.4299922287464142
8.0,1.0957244634628296,0.36324959993362427,1.2982655763626099,0.7067643404006958,0.5798258781433105,0.9617418646812439,1.119419813156128,0.7462052702903748,0.7123190760612488,0.4811743199825287
9.0,1.1392439603805542,0.41940614581108093,1.3496209383010864,0.7638599872589111,0.6444194316864014,1.018649935722351,1.171040654182434,0.8108948469161987,0.7650158405303955,0.535001277923584
10.0,1.1860387325286865,0.47838452458381653,1.403638243675232,0.8233146667480469,0.7107042074203491,1.078014850616455,1.2256133556365967,0.8773840069770813,0.8205819725990295,0.5914716124534607
11.0,1.2360073328018188,0.5400741696357727,1.4601796865463257,0.885054886341095,0.7786405086517334,1.1397013664245605,1.282958984375,0.94558185338974,0.8789035081863403,0.6505463123321533
12.0,1.2890145778656006,0.6043351888656616,1.519083857536316,0.9489771723747253,0.8481619954109192,1.2035508155822754,1.3428765535354614,1.0153745412826538,0.9398375749588013,0.7121483683586121
13.0,1.344894289970398,0.6710011959075928,1.5801695585250854,1.0149511098861694,0.919177770614624,1.2693854570388794,1.4051469564437866,1.0866289138793945,1.0032148361206055,0.7761650085449219
14.0,1.4034522771835327,0.7398830652236938,1.6432396173477173,1.082822561264038,0.9915751814842224,1.337012767791748,1.4695385694503784,1.1591969728469849,1.068843960762024,0.842450737953186
15.0,1.4644711017608643,0.8107742667198181,1.708086371421814,1.1524187326431274,1.065224051475525,1.4062310457229614,1.5358129739761353,1.232920527458191,1.1365162134170532,0.9108327627182007
16.0,1.527716875076294,0.8834564089775085,1.77449631690979,1.2235535383224487,1.1399807929992676,1.4768344163894653,1.6037299633026123,1.3076361417770386,1.2060116529464722,0.9811168313026428
17.0,1.5929447412490845,0.9577051997184753,1.8422560691833496,1.2960329055786133,1.215693712234497,1.548618197441101,1.6730536222457886,1.3831790685653687,1.277104377746582,1.0530942678451538
18.0,1.6599065065383911,1.0332961082458496,1.9111560583114624,1.3696608543395996,1.29220712184906,1.6213825941085815,1.7435557842254639,1.4593881368637085,1.3495688438415527,1.1265487670898438
19.0,1.728356122970581,1.1100093126296997,1.9809952974319458,1.4442439079284668,1.3693664073944092,1.6949372291564941,1.8150205612182617,1.5361080169677734,1.4231843948364258,1.2012627124786377
20.0,1.7980554103851318,1.1876343488693237,2.051584005355835,1.5195955038070679,1.4470208883285522,1.7691031694412231,1.8872464895248413,1.6131926774978638,1.4977396726608276,1.2770230770111084
21.0,1.868778109550476,1.2659733295440674,2.1227457523345947,1.5955393314361572,1.5250276327133179,1.8437154293060303,1.9600485563278198,1.6905068159103394,1.5730361938476562,1.3536256551742554
22.0,1.940313458442688,1.344842791557312,2.1943199634552,1.671911597251892,1.6032530069351196,1.918623447418213,2.033259153366089,1.767926812171936,1.6488901376724243,1.4308792352676392
23.0,2.012467861175537,1.424075722694397,2.266160726547241,1.7485626935958862,1.6815745830535889,1.9936920404434204,2.1067276000976562,1.8453413248062134,1.725134015083313,1.5086069107055664
24.0,2.085066318511963,1.5035219192504883,2.3381383419036865,1.8253575563430786,1.7598813772201538,2.068800926208496,2.180321216583252,1.9226511716842651,1.8016172647476196,1.5866482257843018
25.0,2.157951831817627,1.5830473899841309,2.410137891769409,1.902176022529602,1.8380744457244873,2.1438446044921875,2.253922462463379,1.9997692108154297,1.8782058954238892,1.6648592948913574
26.0,2.2309863567352295,1.662534475326538,2.4820590019226074,1.9789119958877563,1.9160666465759277,2.2187302112579346,2.3274295330047607,2.0766191482543945,1.9547816514968872,1.7431124448776245
