t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.0,0.08925092220306396,0.7739560008049011,0.6545714735984802,0.4388784170150757,0.43301522731781006,0.8585978746414185,0.08594560623168945,0.6973680257797241,0.20146948099136353,0.09417730569839478
1.0,0.15051181614398956,0.8098937273025513,0.6996325850486755,0.5076407194137573,0.4845731258392334,0.9030872583389282,0.1520710438489914,0.743604838848114,0.26146823167800903,0.1441473364830017
2.0,0.21577191352844238,0.8495931625366211,0.7494080662727356,0.5780715346336365,0.5400766730308533,0.951842725276947,0.2234494388103485,0.7929880023002625,0.3248887360095978,0.19886314868927002
3.0,0.28178125619888306,0.896665096282959,0.8043487071990967,0.6529223918914795,0.5993791818618774,1.0050554275512695,0.29768887162208557,0.8486101627349854,0.3925144672393799,0.2574550211429596
4.0,0.3528429865837097,0.9466728568077087,0.8636912703514099,0.7271802425384521,0.6616372466087341,1.063336730003357,0.37467649579048157,0.9094334244728088,0.4643070697784424,0.3200139105319977
5.0,0.4281776547431946,1.0016003847122192,0.927807092666626,0.8061758279800415,0.7276820540428162,1.125410795211792,0.45388931035995483,0.9725663661956787,0.5408706068992615,0.38645410537719727
6.0,0.5059729814529419,1.0627096891403198,0.9949878454208374,0.8880425095558167,0.7979417443275452,1.191974401473999,0.5353524088859558,1.0389585494995117,0.6187182664871216,0.45889759063720703
7.0,0.5863264203071594,1.1279146671295166,1.0660585165023804,0.9718915820121765,0.8710871934890747,1.264609694480896,0.6209825277328491,1.110220193862915,0.6999022364616394,0.5339946746826172
8.0,0.6699672937393188,1.1984282732009888,1.1423078775405884,1.0600650310516357,0.9510136246681213,1.3394595384597778,0.7083404660224915,1.1861658096313477,0.7839740514755249,0.612649142742157
9.0,0.7560120224952698,1.2734944820404053,1.2228895425796509,1.14860999584198,1.0319294929504395,1.4177738428115845,0.7976657748222351,1.2652366161346436,0.8711470365524292,0.6955451369285583
10.0,0.846472978591919,1.351594090461731,1.3054983615875244,1.239133596420288,1.1178432703018188,1.498235821723938,0.8898423314094543,1.3465378284454346,0.9612273573875427,0.7826206684112549
11.0,0.9374571442604065,1.434541940689087,1.3901877403259277,1.3300392627716064,1.204836130142212,1.5829780101776123,0.9839521050453186,1.4340369701385498,1.0535242557525635,0.8734748959541321
12.0,1.0323200225830078,1.5170055627822876,1.4771891832351685,1.4209614992141724,1.2937570810317993,1.6707557439804077,1.0790157318115234,1.5209602117538452,1.1471704244613647,0.9658547639846802
13.0,1.1270430088043213,1.6033483743667603,1.5673844814300537,1.5159454345703125,1.3849538564682007,1.7595704793930054,1.1762375831604004,1.6107152700424194,1.2440032958984375,1.0592185258865356
14.0,1.2228878736495972,1.693368673324585,1.6576732397079468,1.6132014989852905,1.4777863025665283,1.8496513366699219,1.2750681638717651,1.702998161315918,1.3410186767578125,1.1543816328048706
15.0,1.3199107646942139,1.7839086055755615,1.7500708103179932,1.7086299657821655,1.5724228620529175,1.9418113231658936,1.3739955425262451,1.7968254089355469,1.438353180885315,1.250915288925171
16.0,1.4181231260299683,1.8747605085372925,1.8422271013259888,1.8055087327957153,1.666666865348816,2.033432960510254,1.4730896949768066,1.8903303146362305,1.5363622903823853,1.3486350774765015
17.0,1.5147573947906494,1.966864824295044,1.9352856874465942,1.9019136428833008,1.763351559638977,2.1267645359039307,1.5726873874664307,1.984532356262207,1.6327937841415405,1.4471681118011475
18.0,1.614203691482544,2.059062957763672,2.0299062728881836,1.9979935884475708,1.8603686094284058,2.220686197280884,1.671531319618225,2.080012559890747,1.7307004928588867,1.5479533672332764
19.0,1.7125754356384277,2.152395486831665,2.124499797821045,2.093510389328003,1.9547791481018066,2.3127808570861816,1.7718414068222046,2.1738040447235107,1.8284507989883423,1.6483535766601562
20.0,1.8118062019348145,2.2464942932128906,2.2196950912475586,2.188554525375366,2.0510053634643555,2.4057536125183105,1.8705995082855225,2.266775608062744,1.926811933517456,1.7455445528030396
21.0,1.909322738647461,2.339020252227783,2.313441276550293,2.2849321365356445,2.148557186126709,2.5000696182250977,1.969913125038147,2.3610804080963135,2.0220437049865723,1.8453646898269653
22.0,2.0100247859954834,2.4326133728027344,2.4075300693511963,2.3806405067443848,2.2448267936706543,2.592435121536255,2.0675323009490967,2.4549648761749268,2.117837905883789,1.9418338537216187
23.0,2.1089377403259277,2.524963617324829,2.5016894340515137,2.4766125679016113,2.3411448001861572,2.683666706085205,2.165269136428833,2.546876907348633,2.214390754699707,2.0408248901367188
24.0,2.205940008163452,2.614499092102051,2.592374563217163,2.5695712566375732,2.437039375305176,2.775134801864624,2.2621724605560303,2.6381306648254395,2.310602903366089,2.135963201522827
