t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
0.0,0.6707900166511536,0.7165069580078125,0.7622238397598267,0.8079407811164856,0.7487052083015442,0.689469575881958,0.6302340030670166,0.4381329119205475,0.24603180587291718,0.053930699825286865,0.22634857892990112,0.3987664580345154,0.5711843371391296,0.3958812654018402,0.22057820856571198,0.04527515172958374,0.07978832721710205,0.11430150270462036,0.14881467819213867,0.3166661560535431,0.4845176041126251,0.6523690819740295,0.44343963265419006,0.23451018333435059
1.0,0.7166801691055298,0.7695622444152832,0.8144866824150085,0.8495469689369202,0.7930465340614319,0.7121606469154358,0.6615957021713257,0.4784053862094879,0.2960101068019867,0.08252178132534027,0.25306054949760437,0.4313296675682068,0.600346028804779,0.42831307649612427,0.24881021678447723,0.06799706071615219,0.10642017424106598,0.1482156664133072,0.17822811007499695,0.35639694333076477,0.5207716822624207,0.6859238743782043,0.494152694940567,0.2919149398803711
2.0,0.7660167217254639,0.8253019452095032,0.8693447113037109,0.8941359519958496,0.8399526476860046,0.7375883460044861,0.6966108679771423,0.5205638408660889,0.3480258882045746,0.11356551945209503,0.28262123465538025,0.4661344289779663,0.6318909525871277,0.4630376398563385,0.27920007705688477,0.09321872889995575,0.13530050218105316,0.1846148669719696,0.21014109253883362,0.39852604269981384,0.5598455667495728,0.7231079936027527,0.5474757552146912,0.35185545682907104
3.0,0.818747341632843,0.8837065696716309,0.9267790913581848,0.9416985511779785,0.8894227147102356,0.7658432126045227,0.7352827191352844,0.5647465586662292,0.402165025472641,0.14720159769058228,0.3151489794254303,0.5033060312271118,0.6659501194953918,0.5001607537269592,0.3118915855884552,0.12109359353780746,0.1665964424610138,0.22361122071743011,0.24469105899333954,0.4431820809841156,0.6018282175064087,0.7639567852020264,0.6034560203552246,0.4143371284008026
4.0,0.8747852444648743,0.9447242021560669,0.9867426753044128,0.99220210313797,0.9414379000663757,0.7970129251480103,0.7775943875312805,0.611078679561615,0.45849302411079407,0.1835644692182541,0.35075196623802185,0.5429630279541016,0.7026463150978088,0.5397826433181763,0.34702593088150024,0.15177315473556519,0.200471431016922,0.2653069496154785,0.2820066213607788,0.4904738664627075,0.6467875838279724,0.8084742426872253,0.6621072888374329,0.47933289408683777
5.0,0.9340080618858337,1.0082701444625854,1.0491596460342407,1.0455893278121948,0.9959607124328613,0.8311785459518433,0.8235055208206177,0.6596689224243164,0.5170526504516602,0.2227795422077179,0.3895242214202881,0.585213303565979,0.7420905232429504,0.5819950699806213,0.384738564491272,0.18540336191654205,0.23708133399486542,0.3097909390926361,0.3222038745880127,0.5404859185218811,0.6947663426399231,0.8566287159919739,0.7234073281288147,0.5467818975448608
6.0,0.9962591528892517,1.0742278099060059,1.1139260530471802,1.1017781496047974,1.052935242652893,0.8684107661247253,0.8729487061500549,0.7106062769889832,0.5778622031211853,0.26495862007141113,0.4315412938594818,0.6301507353782654,0.7843777537345886,0.6268774271011353,0.42515531182289124,0.22212013602256775,0.27657005190849304,0.35713493824005127,0.36538228392601013,0.5932743549346924,0.7457783222198486,0.9083502292633057,0.787297248840332,0.6165899634361267
7.0,1.0613495111465454,1.1424514055252075,1.1809120178222656,1.1606618165969849,1.1122872829437256,0.9087658524513245,0.9258275628089905,0.7639567255973816,0.6409143805503845,0.31019511818885803,0.4768557846546173,0.6778504848480225,0.829582154750824,0.6744931936264038,0.4683881402015686,0.26204437017440796,0.3190644085407257,0.4073900282382965,0.41162046790122986,0.6488633155822754,0.799805760383606,0.963529109954834,0.8536816239356995,0.6886311173439026
8.0,1.1290626525878906,1.212769865989685,1.2499641180038452,1.2221107482910156,1.1739251613616943,0.9522812962532043,0.9820154309272766,0.819760262966156,0.7061753273010254,0.35855916142463684,0.5254930853843689,0.7283651232719421,0.877752959728241,0.7248858213424683,0.5145304203033447,0.30527642369270325,0.3646686375141144,0.46058282256126404,0.46097174286842346,0.7072423100471497,0.8567973375320435,1.0220168828964233,0.9224310517311096,0.7627511024475098
9.0,1.199160099029541,1.2849915027618408,1.3209102153778076,1.2859742641448975,1.237741231918335,0.9989714622497559,1.0413559675216675,0.8780282139778137,0.7735849022865295,0.41009238362312317,0.577447772026062,0.7817202210426331,0.9289101362228394,0.7780748605728149,0.5636519193649292,0.35189011693000793,0.4134589731693268,0.5167123675346375,0.5134600400924683,0.7683649063110352,0.9166682362556458,1.0836288928985596,0.993385910987854,0.8387720584869385
10.0,1.271388053894043,1.3589105606079102,1.393562912940979,1.3520840406417847,1.3036123514175415,1.048823595046997,1.1036642789840698,0.9387413263320923,0.8430570960044861,0.4648038446903229,0.632680356502533,0.8379109501838684,0.9830405712127686,0.8340529799461365,0.6157939434051514,0.4019271731376648,0.46547818183898926,0.5757474899291992,0.5690762996673584,0.8321484923362732,0.9793004393577576,1.148149013519287,1.0663617849349976,0.9164981245994568
